288.0000	930.0000
288.8648	929.4979
289.7296	928.9958
290.5945	928.4937
291.4593	927.9917
292.3242	927.4897
293.1890	926.9877
294.0540	926.4858
294.9189	925.9839
295.7839	925.4821
296.6489	924.9803
297.5139	924.4786
298.3791	923.9771
299.2442	923.4756
300.1094	922.9742
300.9747	922.4730
301.8401	921.9717
302.7055	921.4708
303.5710	920.9699
304.4366	920.4691
305.3023	919.9686
306.1680	919.4680
307.0339	918.9677
307.8999	918.4677
308.7659	917.9677
309.6321	917.4680
310.4984	916.9685
311.3647	916.4690
312.2314	915.9700
313.0980	915.4711
313.9648	914.9724
314.8317	914.4740
315.6987	913.9756
316.5659	913.4778
317.4333	912.9802
318.3007	912.4825
319.1685	911.9856
320.0363	911.4887
320.9043	910.9920
321.7725	910.4959
322.6408	909.9998
323.5094	909.5042
324.3781	909.0090
325.2469	908.5138
326.1161	908.0193
326.9854	907.5250
327.8548	907.0309
328.7246	906.5375
329.5945	906.0442
330.4646	905.5514
331.3350	905.0591
332.2054	904.5668
333.0764	904.0754
333.9474	903.5842
334.8185	903.0931
335.6902	902.6031
336.5619	902.1130
337.4339	901.6235
338.3063	901.1346
339.1786	900.6458
340.0515	900.1579
340.9246	899.6703
341.7978	899.1829
342.6716	898.6966
343.5454	898.2103
344.4196	897.7247
345.2941	897.2398
346.1687	896.7549
347.0439	896.2712
347.9193	895.7877
348.7947	895.3044
349.6710	894.8225
350.5471	894.3406
351.4237	893.8593
352.3008	893.3789
353.1779	892.8986
354.0556	892.4194
354.9336	891.9407
355.8116	891.4620
356.6905	890.9850
357.5694	890.5080
358.4486	890.0316
359.3284	889.5563
360.2083	889.0811
361.0888	888.6071
361.9696	888.1337
362.8505	887.6602
363.7323	887.1887
364.6141	886.7171
365.4963	886.2462
366.3792	885.7766
367.2620	885.3069
368.1456	884.8386
369.0295	884.3710
369.9135	883.9034
370.7985	883.4378
371.6835	882.9723
372.5689	882.5074
373.4550	882.0440
374.3412	881.5806
375.2281	881.1186
376.1153	880.6573
377.0026	880.1961
377.8911	879.7371
378.7795	879.2782
379.6684	878.8199
380.5580	878.3633
381.4477	877.9067
382.3381	877.4516
383.2290	876.9974
384.1199	876.5431
385.0120	876.0913
385.9041	875.6395
386.7967	875.1885
387.6900	874.7393
388.5834	874.2900
389.4777	873.8425
390.3724	873.3958
391.2671	872.9492
392.1631	872.5051
393.0591	872.0611
393.9556	871.6180
394.8529	871.1766
395.7502	870.7352
396.6484	870.2957
397.5470	869.8569
398.4457	869.4182
399.3456	868.9821
400.2455	868.5459
401.1458	868.1108
402.0469	867.6772
402.9481	867.2437
403.8501	866.8120
404.7525	866.3810
405.6550	865.9503
406.5585	865.5219
407.4621	865.0935
